Reference_ClockRate_C,Sampling Threshold,Max Clock Drift,Max Packet Size Rm
1,0.1,0.0001,134
1,0.1,0.0002,94
1,0.1,0.0003,77
1,0.1,0.0004,67
1,0.1,0.0005,59
1,0.1,0.0006,54
1,0.1,0.0007,50
1,0.1,0.0008,47
1,0.1,0.0009,44
1,0.1,0.001,42
1,0.1,0.0011,40
1,0.1,0.0013,37
1,0.1,0.0015,34
1,0.1,0.0019,30
1,0.1,0.0025,26
1,0.1,0.0035,22
,,,
1,0.2,0.0001,126
1,0.2,0.0002,89
1,0.2,0.0003,73
1,0.2,0.0004,63
1,0.2,0.0005,56
1,0.2,0.0006,51
1,0.2,0.0007,47
1,0.2,0.0008,44
1,0.2,0.0009,42
1,0.2,0.001,40
1,0.2,0.0011,38
1,0.2,0.0013,35
1,0.2,0.0015,32
1,0.2,0.0019,29
1,0.2,0.0025,25
1,0.2,0.0035,21
,,,
1,0.3,0.0001,118
1,0.3,0.0002,83
1,0.3,0.0003,68
1,0.3,0.0004,59
1,0.3,0.0005,53
1,0.3,0.0006,48
1,0.3,0.0007,44
1,0.3,0.0008,41
1,0.3,0.0009,39
1,0.3,0.001,37
1,0.3,0.0011,35
1,0.3,0.0013,32
1,0.3,0.0015,30
1,0.3,0.0019,27
1,0.3,0.0025,23
1,0.3,0.0035,20
,,,
1,0.4,0.0001,109
1,0.4,0.0002,77
1,0.4,0.0003,63
1,0.4,0.0004,55
1,0.4,0.0005,49
1,0.4,0.0006,45
1,0.4,0.0007,41
1,0.4,0.0008,38
1,0.4,0.0009,36
1,0.4,0.001,34
1,0.4,0.0011,33
1,0.4,0.0013,30
1,0.4,0.0015,28
1,0.4,0.0019,25
1,0.4,0.0025,22
1,0.4,0.0035,18
,,,
1,0.7,0.0001,77
1,0.7,0.0002,54
1,0.7,0.0003,44
1,0.7,0.0004,38
1,0.7,0.0005,34
1,0.7,0.0006,31
1,0.7,0.0007,29
1,0.7,0.0008,27
1,0.7,0.0009,26
1,0.7,0.001,24
1,0.7,0.0011,23
1,0.7,0.0013,21
1,0.7,0.0015,20
1,0.7,0.0019,18
1,0.7,0.0025,15
1,0.7,0.0035,13
,,,
1,0.9,0.0001,45
1,0.9,0.0002,32
1,0.9,0.0003,26
1,0.9,0.0004,22
1,0.9,0.0005,20
1,0.9,0.0006,18
1,0.9,0.0007,17
1,0.9,0.0008,16
1,0.9,0.0009,15
1,0.9,0.001,14
1,0.9,0.0011,13
1,0.9,0.0013,12
1,0.9,0.0015,11
1,0.9,0.0019,10
1,0.9,0.0025,9
1,0.9,0.0035,7
,,,
,,,
,,,
,,,
3,0.1,0.0001,402
3,0.1,0.0002,284
3,0.1,0.0003,232
3,0.1,0.0004,201
3,0.1,0.0005,179
3,0.1,0.0006,164
3,0.1,0.0007,152
3,0.1,0.0008,142
3,0.1,0.0009,134
3,0.1,0.001,127
3,0.1,0.0011,121
3,0.1,0.0013,111
3,0.1,0.0015,103
3,0.1,0.0019,92
3,0.1,0.0025,80
3,0.1,0.0035,68
,,,
3,0.2,0.0001,379
3,0.2,0.0002,268
3,0.2,0.0003,219
3,0.2,0.0004,189
3,0.2,0.0005,169
3,0.2,0.0006,154
3,0.2,0.0007,143
3,0.2,0.0008,134
3,0.2,0.0009,126
3,0.2,0.001,120
3,0.2,0.0011,114
3,0.2,0.0013,105
3,0.2,0.0015,98
3,0.2,0.0019,87
3,0.2,0.0025,75
3,0.2,0.0035,64
,,,
3,0.3,0.0001,355
3,0.3,0.0002,251
3,0.3,0.0003,205
3,0.3,0.0004,177
3,0.3,0.0005,158
3,0.3,0.0006,144
3,0.3,0.0007,134
3,0.3,0.0008,125
3,0.3,0.0009,118
3,0.3,0.001,112
3,0.3,0.0011,107
3,0.3,0.0013,98
3,0.3,0.0015,91
3,0.3,0.0019,81
3,0.3,0.0025,71
3,0.3,0.0035,60
,,,
3,0.4,0.0001,328
3,0.4,0.0002,232
3,0.4,0.0003,189
3,0.4,0.0004,164
3,0.4,0.0005,147
3,0.4,0.0006,134
3,0.4,0.0007,124
3,0.4,0.0008,116
3,0.4,0.0009,109
3,0.4,0.001,103
3,0.4,0.0011,99
3,0.4,0.0013,91
3,0.4,0.0015,84
3,0.4,0.0019,75
3,0.4,0.0025,65
3,0.4,0.0035,55
,,,
3,0.7,0.0001,232
3,0.7,0.0002,164
3,0.7,0.0003,134
3,0.7,0.0004,116
3,0.7,0.0005,104
3,0.7,0.0006,95
3,0.7,0.0007,88
3,0.7,0.0008,82
3,0.7,0.0009,77
3,0.7,0.001,73
3,0.7,0.0011,70
3,0.7,0.0013,64
3,0.7,0.0015,60
3,0.7,0.0019,53
3,0.7,0.0025,46
3,0.7,0.0035,39
,,,
3,0.9,0.0001,134
3,0.9,0.0002,95
3,0.9,0.0003,77
3,0.9,0.0004,67
3,0.9,0.0005,60
3,0.9,0.0006,55
3,0.9,0.0007,51
3,0.9,0.0008,47
3,0.9,0.0009,45
3,0.9,0.001,42
3,0.9,0.0011,40
3,0.9,0.0013,37
3,0.9,0.0015,35
3,0.9,0.0019,31
3,0.9,0.0025,27
3,0.9,0.0035,23
,,,
,,,
,,,
,,,
6,0.1,0.0001,805
6,0.1,0.0002,569
6,0.1,0.0003,464
6,0.1,0.0004,402
6,0.1,0.0005,360
6,0.1,0.0006,328
6,0.1,0.0007,304
6,0.1,0.0008,284
6,0.1,0.0009,268
6,0.1,0.001,254
6,0.1,0.0011,242
6,0.1,0.0013,223
6,0.1,0.0015,207
6,0.1,0.0019,184
6,0.1,0.0025,161
6,0.1,0.0035,136
,,,
6,0.2,0.0001,758
6,0.2,0.0002,536
6,0.2,0.0003,438
6,0.2,0.0004,379
6,0.2,0.0005,339
6,0.2,0.0006,309
6,0.2,0.0007,286
6,0.2,0.0008,268
6,0.2,0.0009,253
6,0.2,0.001,240
6,0.2,0.0011,228
6,0.2,0.0013,210
6,0.2,0.0015,195
6,0.2,0.0019,174
6,0.2,0.0025,151
6,0.2,0.0035,128
,,,
6,0.3,0.0001,710
6,0.3,0.0002,502
6,0.3,0.0003,410
6,0.3,0.0004,355
6,0.3,0.0005,317
6,0.3,0.0006,289
6,0.3,0.0007,268
6,0.3,0.0008,251
6,0.3,0.0009,236
6,0.3,0.001,224
6,0.3,0.0011,214
6,0.3,0.0013,197
6,0.3,0.0015,183
6,0.3,0.0019,162
6,0.3,0.0025,142
6,0.3,0.0035,120
,,,
6,0.4,0.0001,657
6,0.4,0.0002,464
6,0.4,0.0003,379
6,0.4,0.0004,328
6,0.4,0.0005,294
6,0.4,0.0006,268
6,0.4,0.0007,248
6,0.4,0.0008,232
6,0.4,0.0009,219
6,0.4,0.001,207
6,0.4,0.0011,198
6,0.4,0.0013,182
6,0.4,0.0015,169
6,0.4,0.0019,150
6,0.4,0.0025,131
6,0.4,0.0035,111
,,,
6,0.7,0.0001,465
6,0.7,0.0002,328
6,0.7,0.0003,268
6,0.7,0.0004,232
6,0.7,0.0005,208
6,0.7,0.0006,190
6,0.7,0.0007,176
6,0.7,0.0008,164
6,0.7,0.0009,155
6,0.7,0.001,147
6,0.7,0.0011,140
6,0.7,0.0013,129
6,0.7,0.0015,120
6,0.7,0.0019,106
6,0.7,0.0025,93
6,0.7,0.0035,78
,,,
6,0.9,0.0001,268
6,0.9,0.0002,190
6,0.9,0.0003,155
6,0.9,0.0004,134
6,0.9,0.0005,120
6,0.9,0.0006,109
6,0.9,0.0007,101
6,0.9,0.0008,95
6,0.9,0.0009,89
6,0.9,0.001,85
6,0.9,0.0011,81
6,0.9,0.0013,74
6,0.9,0.0015,69
6,0.9,0.0019,61
6,0.9,0.0025,54
6,0.9,0.0035,45
,,,
,,,
,,,
,,,
,,,
,,,
9,0.1,0.0001,1207
9,0.1,0.0002,853
9,0.1,0.0003,697
9,0.1,0.0004,603
9,0.1,0.0005,539
9,0.1,0.0006,492
9,0.1,0.0007,456
9,0.1,0.0008,426
9,0.1,0.0009,402
9,0.1,0.001,381
9,0.1,0.0011,364
9,0.1,0.0013,334
9,0.1,0.0015,311
